job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Python Teacher,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,20 ~ 40,Full Time,IT,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"- Bachelor’s in computer science - Prior experience in Block Programming preferably scratch - A degree or proven experience related to Python, C and C++ - Knowledge of using databases: MySQL, SQLite … - 1+ year of teaching experience (Preferable)- Proactive communicator and problem solver- Believe in the power of education and loves working with children- Good in English both writing, speaking and reading. - 1+ years of teaching experience in science subjects for primary and secondary school."
Junior Researcher ( Data Entry),Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,1,3,Negotiable,Male/Female,Age Unlimited,Full Time,Others,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree• 1 years of experience in Data Entry• Basic Computer Skill (Microsoft Word and Excel) • Passionate in coaching, and teaching, • Good in communication and convincing skills• Strong commitment, conscientious and Result oriented • Excitement in supporting big team"
Senior Creative Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,20 ~ 45,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,• Bachelor’s degree in related field• At least 2 years’ experience in graphic designing • Strong demonstrated talent for visual creations and graphic design • Willing to integrate a passionate and enthusiastic team fully and smoothly • Interested to take part in adventure of the creation of a new brand development • Able to work and coordinate with others in a horizontal organization chart• Artistic sensitivity and flexible
Sales Executive,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,2,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"- Proven sales experience/ Be positive being a sales person; - Track record of over‐achieving quota; - Familiarity with different sales techniques and pipeline -management; - Competent in using computer; - Strong communication, negotiation and interpersonal skills; - Self‐motivated and self‐driven; - BA/BS degree or equivalent;"
Graphic Teacher,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,1,1,Negotiable,Male/Female,20 ~ 40,Full Time,Design,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"- Bachelor’s in Digital Media, Design or related fields- Proficient in Photoshop, Illustrator and experience design tools like Adobe XD/Sketch- Excellent layout and typographic skills- Relevant digital/visual design experience- 1+ year of teaching experience (Preferable)- Proactive communicator and problem solver- Believe in the power of education and loves working with children- Good in English both writing, speaking and reading. - 1+ years of teaching experience in science subjects for primary and secondary school."
Project Manager,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,3,1,Negotiable,Male/Female,20 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"- Bachelor’s degree required; with certificate of PM is preferable.- 3 years working experience in Project Management.Experiences within multiple industries by getting involved in coordinating projects and related activities.- Be able to use Project Management Tools (Open Source is preferable, e.g., Redmine).- Advanced knowledge of Project Management principles, concepts, procedures, practices, and tools (PMP, Scrum master certification).- Sound understanding with Scope, WBS, Gantt chart, Kanban, scrum, timeline, roadmap, milestone and good with in estimation.- Have knowledge in Agile methodology, Project Management Life Cycle- Hardworking and possesses ability to take initiatives.Ambition to progress into more senior positions.- Be Self-motivated, attentive, mutual and be able to work under pressure with agreed timeline.- Excellent communication, presentation, and customer management skills with advanced problem-solving skills."
JavaScript Developer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Entry Level,1,4,Negotiable,Male/Female,20 ~ 45,Full Time,IT,Real Estate,Bachelor Degree,Khmer-- Mother Tongue English-- Excellent,Phnom Penh,"Solid background in JavaScript progamming.Knowledge of Object-oriented progamming paradigm.Knowledge of Design patterns is a plus.Understanding the nature of asynchrous programming and its quirks and workarounds.Knowledge of web technologies: HTML, CSS, JavaScript.Knowledge of Node.JS and frameworks, Expressjs or others.Familiarity with the whole web stack, including protocols and web server optimization techniques. Understanding fundamental design principles behind a scalable application.Proficient understanding of code versioning tools, such as Git. Understanding create & usage Web Service: RESTful and SOAP is a plus. Understanding of NoSQL database.Understanding of Relational database and SQL.understanding of QA processes, required Unit Test (Knowledge of others test automation is a plus).Able to work independently or in a team environment."
"Marketing Supervisor, Education",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Knowledge of Marketing in education institution is an advantage• Understanding of performance marketing, content strategy, and analytics • Minimum 2 years of experience in marketing or business development• Strong knowledge of various paid marketing channels and technologies, including paid search (Google AdWords), retargeting, social media advertising (Facebook, instagram, Twitter, etc.)• Graduate degree in Marketing or related fields• Being innovative and willing to learn new things"
Senior Business Analyst - International Business,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,Finance,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Undergraduate degree and excellent academic record in a top-tier university in business, finance, economics, or other fields; An MBA or related postgraduate degree or qualifications is an advantage • Minimum 2 years of experience in a consulting company or relevant professional work setting • Knowledge of Cambodia’s economic and business environment• Knowledge of project research and analysis, qualitative and quantitative research• Understanding of business intelligence concept and its application• Proficient in at least two programing languages (preferably R and Python)• Advanced working knowledge of the Microsoft Suite, specifically Excel and PowerPoint • Well-developed core consulting skills of research, analysis, presentation, and attention to details• Exceptional analytical and problem-solving skills• Strong interpersonal and communication skills, both oral and written• Strong project coordination and exceptional client service• Strong coding skills• Ability to manipulate, analyze and interpret comp..."
Senior Finance Officer,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Senior,2,1,Negotiable,Male/Female,25 ~ 45,Full Time,Finance,Real Estate,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree in Accounting • Minimum 2 years’ experience in accounting • Knowledge of general bookkeeping procedures • Knowledge of general accounting principles • Excellent Khmer and English literacy • Microsoft QuickBooks and knowledge of digital business• Understanding of company products, policies and services • Good teamwork and supportive"
"Marketing Supervisor, Education",Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Top,2,1,Negotiable,Male/Female,20 ~ 40,Full Time,Marketing,Real Estate,Bachelor Degree,English-- Excellent,Phnom Penh,"• Knowledge of Marketing in education institution is an advantage• Understanding of performance marketing, content strategy, and analytics • Minimum 2 years of experience in marketing or business development• Strong knowledge of various paid marketing channels and technologies, including paid search (Google AdWords), retargeting, social media advertising (Facebook, instagram, Twitter, etc.)• Graduate degree in Marketing or related fields• Being innovative and willing to learn new things"
